carving_id,stone,source,hc_recurve,hc_ring,hc_axe_note,area_px,perim_px,width_px,height_px,area_rel,perim_cm,width_cm,height_cm,circularity,aspect_ratio,roundness,solidity,lda_p_mushroom,rf_p_mushroom,mahal_dist_to_axe_centroid,mahal_dist_to_mushroom_centroid,nearest_centroid
s4_047,4,"Extracted (this study, from Stone4.tiff)",,,,18187.0,716.6417023478424,200.0,223.0,,,,,0.4450069331918014,1.3065135279652915,0.5134711456561111,0.6963396891033004,0.055841259824201336,0.7,3.636997332454011,4.140932720378674,axe
s4_048,4,"Extracted (this study, from Stone4.tiff)",,,,6893.0,459.5990257669732,126.0,129.0,,,,,0.4100718369298922,1.2683605243475449,0.5308808764182988,0.664577709217123,0.3548651380613952,0.7533333333333333,4.271106239247835,4.020036602106042,mushroom
s4_049,4,"Extracted (this study, from Stone4.tiff)",,,,24116.0,791.653895656662,171.0,286.0,,,,,0.4835533905005379,2.2207854270808056,0.3432026398873489,0.7781362932369644,5.671985537375295e-06,0.18333333333333332,3.028676396313149,2.9408002762339973,mushroom
s4_050,4,"Extracted (this study, from Stone4.tiff)",,,,24349.0,912.4995667241114,217.0,286.0,,,,,0.3674731903597503,1.874649676008096,0.3217849318963982,0.6262763959978395,5.186718892931303e-05,0.5533333333333333,5.018065866566897,4.765138103920912,mushroom
s4_051,4,"Extracted (this study, from Stone4.tiff)",,,,67334.0,1954.4621202458748,364.0,577.0,,,,,0.2215081771805442,2.9586954273935677,0.2265473753001255,0.5375882221441574,0.000586008766715739,0.38666666666666666,4.563178274771868,2.699032984649987,mushroom
s4_052,4,"Extracted (this study, from Stone4.tiff)",,,,43423.0,1090.38181771802,236.0,382.0,,,,,0.45895751636654,2.5178051402762067,0.3217792491587798,0.7705398019661426,8.194567735666323e-06,0.24,2.533794584912745,2.1450695116923093,mushroom
s4_053,4,"Extracted (this study, from Stone4.tiff)",,,,30856.0,993.5117600329312,222.0,342.0,,,,,0.3928289314017257,2.1601498670627906,0.319735182240983,0.67779632721202,3.5706353530914856e-05,0.23,3.9497824598371274,3.496648584961,mushroom
s4_054,4,"Extracted (this study, from Stone4.tiff)",,,,9706.0,660.6528496361356,190.0,179.0,,,,,0.2794496215506435,1.257064499732399,0.4341202718749458,0.5132734003172924,0.18638160222182457,0.87,6.043215618937359,5.864966658128159,mushroom
s4_055,4,"Extracted (this study, from Stone4.tiff)",,,,32903.0,1097.7544007200504,277.0,338.0,,,,,0.3431112735993135,1.9107741635980455,0.3400490048408072,0.6036361634989359,0.00040966555915177645,0.6966666666666667,4.6338903833452925,4.29755719070304,mushroom
s4_056,4,"Extracted (this study, from Stone4.tiff)",,,,70614.0,2129.8996744053607,461.0,401.0,,,,,0.1956060949331308,1.4531500805240962,0.380997051470801,0.5434145215283389,0.2657246893123609,0.83,6.970704279024173,6.0249787070984695,mushroom
RiCruin1,"RiCruin (Kilmartin cairn, comparison site)",Extracted (this study),,,,,,,,,,,,0.4588214528444829,1.750337215329662,0.4307463558658825,0.7564059486030739,0.0007909734498096287,0.4633333333333333,2.761977797348823,3.460908651933355,axe
RiCruin2,"RiCruin (Kilmartin cairn, comparison site)",Extracted (this study),,,,,,,,,,,,0.48460542811036,1.652303004602328,0.469366665116452,0.7792805683783548,0.0023268725415592282,0.6133333333333333,2.4554817323910476,3.288322657494745,axe
RiCruin3,"RiCruin (Kilmartin cairn, comparison site)",Extracted (this study),,,,,,,,,,,,0.4175407331587072,2.045010927056982,0.3521909121832641,0.714011466182597,7.30676938853709e-05,0.31333333333333335,3.4857681518142565,3.447713258244354,mushroom
RiCruin4,"RiCruin (Kilmartin cairn, comparison site)",Extracted (this study),,,,,,,,,,,,0.5467441827722915,1.765382832806481,0.4637846456866046,0.8273142235466628,0.00021956558085212688,0.28,1.8020430480882623,3.0478512899987,axe
