carving_id,stone,source,hc_recurve,hc_ring,hc_axe_note,area_px,perim_px,width_px,height_px,area_rel,perim_cm,width_cm,height_cm,circularity,aspect_ratio,roundness,solidity,mahal_d_axe,mahal_d_mushroom,lda_p_mushroom,closer_to
F631.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,44665.0,1156.3057,257.0,400.0,,,,,0.41978979,2.45390569,0.40751362,0.69766715,,,,
F632-aligned.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,46006.0,1065.50166,229.0,400.0,,,,,0.50923246,2.08850747,0.47881083,0.83484099,,,,
F634.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,51998.0,1312.67323,353.0,400.0,,,,,0.37921302,1.51914985,0.65826291,0.66274105,,,,
F636.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,72582.0,1318.37172,374.0,400.0,,,,,0.5247628,1.5013142,0.66608309,0.75757766,,,,
F637.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,45975.0,1273.82042,322.0,400.0,,,,,0.35605344,1.65008527,0.60602929,0.60394089,,,,
F638.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,60435.0,1316.69048,355.0,400.0,,,,,0.43805738,1.37902653,0.72514921,0.69211741,,,,
F639.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,54513.0,1169.10974,261.0,400.0,,,,,0.50118653,2.15102457,0.46489474,0.80235202,,,,
F640.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,40552.0,1212.64885,275.0,400.0,,,,,0.34653893,2.14978334,0.46516315,0.62184397,,,,
F641.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,56416.0,1217.29351,277.0,400.0,,,,,0.47843346,2.00533795,0.49866907,0.760052,,,,
F642.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,56961.0,1360.44784,364.0,400.0,,,,,0.38674409,1.36194573,0.73424364,0.6418177,,,,
F643.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,88281.0,1451.98694,437.0,400.0,,,,,0.52620102,1.0954941,0.91283011,0.77763488,,,,
F644.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,53672.0,1386.22958,363.0,400.0,,,,,0.350984,1.57577845,0.63460698,0.60376509,,,,
F645.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,91226.0,1466.25397,462.0,400.0,,,,,0.5332245,1.15028979,0.86934615,0.76670169,,,,
