Circularity,Aspect Ratio,Roundness,Solidity
0.53639887,1.3446876,0.74366715,0.77224802
0.4402635,1.30861281,0.76416797,0.69493384
0.41539285,1.15743865,0.86397668,0.68660449
0.45719494,2.52937416,0.39535472,0.76880494
0.34344975,1.90725049,0.52431498,0.60759443
0.39288187,2.18276338,0.45813486,0.67621993
0.33905907,1.80157229,0.55507071,0.5883641
0.4798179,1.35378637,0.73866898,0.76185191
0.27937562,1.41221788,0.70810603,0.5082854
0.28281828,1.26254375,0.79205176,0.52248327
0.38237508,1.92115185,0.52052106,0.63733466
0.39528755,1.61913672,0.61761307,0.72893765
0.36430567,1.88054822,0.53175983,0.62136025
0.35085529,2.0310402,0.49235855,0.61922742
0.41938719,1.39403255,0.71734337,0.67882244
0.4121102,1.28339719,0.77918201,0.66948054
0.43773635,1.63863404,0.61026439,0.70635838
0.43174136,1.1823857,0.84574771,0.69159837
0.49420239,1.26294907,0.79179756,0.75042421
0.47788461,1.445887,0.69161698,0.73568444
0.29649286,2.35811535,0.42406747,0.57682755
0.52968414,1.11204496,0.89924422,0.78110733
0.46013723,1.3891537,0.71986275,0.71282138
0.48944178,1.87605016,0.53303479,0.76406977
0.3951802,1.39397048,0.71737531,0.66225251
0.44011459,2.10505795,0.4750463,0.72413438
0.44067714,1.8657531,0.5359766,0.70759671
0.48021122,1.52386744,0.65622506,0.74448437
0.37323922,2.39555486,0.41743982,0.64210579
0.36952564,1.49071121,0.67082074,0.63842627
0.46172225,1.0096697,0.99042291,0.74149268
0.38214827,2.42845789,0.41178396,0.70130461
0.43194752,1.26428679,0.79095978,0.6831604
0.47623752,1.4833311,0.67415832,0.74216132
0.43345414,2.75825291,0.36254834,0.78002663
0.45366802,1.85578878,0.53885443,0.72496311
0.35058379,1.65450977,0.60440864,0.59594879
0.42480571,1.14581628,0.87274026,0.67637484
0.59887007,1.06482472,0.9391217,0.84451831
0.51656786,1.84723889,0.5413485,0.81266585
0.26948601,1.70157038,0.58769241,0.52490461
0.47835743,1.41565572,0.70638643,0.76302492
0.48184816,1.75470519,0.5698963,0.76897747
0.50799804,1.65693313,0.60352466,0.79595581
0.44502279,2.05246357,0.48721937,0.73015281
0.55776818,1.76766749,0.56571725,0.83778037
0.52622081,1.51548069,0.65985664,0.80357271
0.449385,1.58357245,0.63148358,0.72058718
0.21460142,2.60134983,0.38441581,0.54570761
0.32886556,2.10774182,0.47444141,0.60119416
0.53797592,1.44911942,0.69007425,0.78962423
0.35830821,1.19725395,0.83524469,0.64574559
0.58838774,1.17564631,0.85059596,0.81772868
0.44369247,1.73165957,0.57748071,0.74980135
0.35988471,1.27153839,0.78644892,0.64947639
